Abdelnaby, Alaa
Abdul-Aziz, Zaid
Abdul-Jabbar, Kareem
Abdul-Rauf, Mahmoud
Abdul-Wahad, Tariq
Abdur-Rahim, Shareef
Abernethy, Tom
Able, Forest
Abramovic, John
Acker, Alex
Ackerman, Donald
Acres, Mark
Acton, Charles
Acy, Quincy [SAC]
Adams, Alvan
Adams, Don
Adams, Hassan
Adams, Jordan [MEM]
Adams, Michael
Adams, Steven [OKC]
Addison, Rafael
Adelman, Rick
Adrien, Jeff
Afflalo, Arron [NYK]
Ager, Maurice
Aguirre, Mark
Ahearn, Blake
Ainge, Danny
Ajinca, Alexis [NOP]
Akin, Henry
Akognon, Josh
Alabi, Solomon
Alarie, Mark
Alcorn, Gary
Aldemir, Furkan
Aldrich, Cole [LAC]
Aldridge, LaMarcus [SAS]
Aleksinas, Chuck
Alexander, Cliff [POR]
Alexander, Cory
Alexander, Courtney
Alexander, Gary
Alexander, Joe
Alexander, Victor
Alford, Steve
Allen, Bob
Allen, Jerome
Allen, Lavoy [IND]
Allen, Lucius
Allen, Malik
Allen, Randy
Allen, Ray
Allen, Tony [MEM]
Allison, Odis
Allred, Lance
Allums, Darrell
Almond, Morris
Alston, Derrick
Alston, Rafer
Aluma, Peter
Amaechi, John
Amaya, Ashraf
Aminu, Al-Farouq [POR]
Amundson, Lou [NYK]
Anderegg, Bob
Andersen, Chris [MIA]
Andersen, David
Anderson, Alan [WAS]
Anderson, Antonio
Anderson, Cliff
Anderson, Daniel
Anderson, Derek
Anderson, Dwight
Anderson, Eric
Anderson, Greg
Anderson, James [SAC]
Anderson, Jerome
Anderson, Justin [DAL]
Anderson, Kenny
Anderson, Kim
Anderson, Kyle [SAS]
Anderson, Michael
Anderson, Mitchell
Anderson, Nick
Anderson, Richard
Anderson, Ron
Anderson, Ryan [NOP]
Anderson, Shandon
Anderson, Willie
Anderzunas, Wally
Andriuskevicius, Martynas
Anielak, Don
Ansley, Michael
Anstey, Chris
Antetokounmpo, Giannis [MIL]
Anthony, Carmelo [NYK]
Anthony, Greg
Anthony, Joel [DET]
Antic, Pero
Araujo, Rafael
Arceneaux, Stacey
Archibald, Nate
Archibald, Robert
Ard, Jim
Arenas, Gilbert
Ariza, Trevor [HOU]
Arizin, Paul
Arlauckas, Joe
Armstrong, B.J.
Armstrong, Bob
Armstrong, Brandon
Armstrong, Darrell
Armstrong, Hilton
Armstrong, Paul
Armstrong, Tate
Arnelle, Jesse
Arnette, Jay
Arnzen, Bob
Arroyo, Carlos
Arthur, Darrell [DEN]
Arthurs, John
Asik, Omer [NOP]
Askew, Vincent
Askins, Keith
Asmonga, Don
Atha, Richard
Atkins, Chucky
Attles, Alvin
Aubuchon, Chet
Augmon, Stacey
Augustin, D.J. [OKC]
Augustine, James
Austin, Ike
Austin, John
Austin, Ken
Avent, Anthony
Averitt, William
Avery, William
Awtrey, Dennis
Ayon, Gustavo
Ayres, Jeff
Azubuike, Kelenna
B
Babb, Chris
Babbitt, Luke [NOP]
Babic, Milos
Bach, Johnny
Baechtold, Jim
Bagaric, Dalibor
Bagley, John
Bailey, Carl
Bailey, Gus
Bailey, James
Bailey, Thurl
Bailey, Toby
Bairstow, Cameron [CHI]
Baker, Mark
Baker, Maurice
Baker, Norm
Baker, Vin
Balkman, Renaldo
Ball, Cedric
Ballard, Greg
Baltimore, Herschel
Banks, Gene
Banks, Marcus
Bannister, Ken
Bantom, Mike
Barber, John
Barbosa, Leandro [GSW]
Bardo, Stephen
Barea, Jose Juan [DAL]
Bargnani, Andrea [BKN]
Barker, Cliff
Barker, Tom
Barkley, Charles
Barkley, Erick
Barksdale, Don
Barnes, Harrison [GSW]
Barnes, Harry
Barnes, Jim
Barnes, Marvin
Barnes, Matt [MEM]
Barnett, Dick
Barnett, Jim
Barnhill, John
Barnhill, Norton
Barnhorst, Leo
Barr, John
Barr, Mike
Barr, Thomas
Barrett, Andre
Barrett, Ernie
Barron, Earl
Barros, Dana
Barry, Brent
Barry, Drew
Barry, Jon
Barry, Rick
Bartels, Ed
Bartolome, Vic
Barton, Will [DEN]
Basden, Eddie
Baskerville, Jerry
Bass, Brandon [LAL]
Bassett, Tim
Baston, Maceo
Bateer, Mengke
Bates, Billyray
Batista, Esteban
Batiste, Mike
Battie, Tony
Battier, Shane
Battle, John
Battle, Kenny
Batton, Dave
Batum, Nicolas [CHA]
Baum, Johnny
Baumholtz, Frankie
Baxter, Lonny
Bayless, Jerryd [MIL]
Baylor, Elgin
Baynes, Aron [DET]
Bazarevich, Sergei
Bazemore, Kent [ATL]
Beach, Ed
Beal, Bradley [WAS]
Beard, Butch
Beard, Ralph
Beasley, Jerome
Beasley, Michael
Beaty, Zelmo
Beaubois, Rodrigue
Beck, Byron
Beck, Corey
Beck, Ernie
Becker, Moe
Bedford, William
Beenders, Hank
Behagen, Ron
Behnke, Elmer
Belinelli, Marco [SAC]
Bell, Charlie
Bell, Dennis
Bell, Raja
Bell, Troy
Bell, William
Bellamy, Walt
Bemoras, Irv
Benbow, Leon
Bender, Jonathan
Benimon, Jerrelle
Benjamin, Benoit
Benjamin, Corey
Bennett, Anthony [TOR]
Bennett, Elmer
Bennett, Mario
Bennett, Mel
Bennett, Tony
Bennett, Winston
Benoit, David
Benson, Keith
Benson, Kent
Berce, Gene
Bergen, Gary
Berry, Ricky
Berry, Walter
Beshore, Del
Best, Travis
Beverley, Patrick [HOU]
Bhullar, Sim
Bianchi, Al
Biasatti, Hank
Bibby, Henry
Bibby, Mike
Biedenbach, Ed
Biedrins, Andris
Bielke, Don
Bigelow, Bob
Billups, Chauncey
Bing, Dave
Binion, Joe
Bird, Jerry
Bird, Larry
Birdsong, Otis
Bishop, Gale
Biyombo, Bismack [TOR]
Bjelica, Nemanja [MIN]
Blab, Uwe
Black, Charlie
Black, Norman
Black, Tarik [LAL]
Black, Tom
Blackman, Rolando
Blackwell, Alex
Blackwell, Cory
Blackwell, James
Blackwell, Nate
Blair, DeJuan [WAS]
Blake, Steve [DET]
Blakely, Marqus
Blalock, Will
Blaney, George
Blanks, Lance
Blanton, Ricky
Blatche, Andray
Blaylock, Mookie
Bledsoe, Eric [PHX]
Blevins, Leon
Block, John
Bloom, Mike
Blount, Corie
Blount, Mark
Blue, Vander
Blume, Ray
Bobb, Nelson
Bobbitt, Tony
Bockhorn, Arlen
Boerwinkle, Tom
Bogans, Keith
Bogdanovic, Bojan [BKN]
Bogues, Muggsy
Bogut, Andrew [GSW]
Bohannon, Etdrick
Bol, Manute
Bolger, Bill
Bolstorff, Doug
Bon Salle, George H.
Bond, Phil
Bond, Walter
Boney, Dexter
Bonham, Ron
Bonner, Anthony
Bonner, Matt [SAS]
Booker, Devin [PHX]
Booker, Melvin
Booker, Trevor [UTA]
Boone, Josh
Boone, Ron
Booth, Calvin
Booth, Keith
Boozer, Bob
Boozer, Carlos
Borchardt, Curtis
Bornheimer, Jake
Borrell, Lazaro
Borsavage, Costic
Boryla, Vince
Bosh, Chris [MIA]
Bostic, Jim
Boston, Lawrence
Boswell, Tom
Boumtje-Boumtje, Ruben
Boven, Don
Bowdler, Cal
Bowen, Bruce
Bowen, Ryan
Bowie, Anthony
Bowie, Sam
Bowman, Ira
Bowman, Nate
Boyce, Donnie
Boyd, Dennis
Boyd, Fred
Boyd, Ken
Boykins, Earl
Boykoff, Harry
Boynes, Winford
Bozeman, Cedric
Bracey, Steve
Brackins, Craig
Bradds, Gary
Bradley, Alex
Bradley, Alonzo
Bradley, Avery [BOS]
Bradley, Bill
Bradley, Charles
Bradley, Dudley
Bradley, Joe
Bradley, Michael
Bradley, Shawn
Bradtke, Mark
Bragg, Marques
Braggs, Torraye
Bramlett, A.J.
Branch, Adrian
Brand, Elton [PHI]
Brandon, Terrell
Brannum, Bob
Branson, Brad
Branson, Jesse
Brasco, Jim
Bratz, Mike
Braun, Carl
Breaux, Tim
Bremer, J.R.
Brennan, Pete
Brennan, Tom
Breuer, Randy
Brewer, Corey [HOU]
Brewer, Jamison
Brewer, Jim
Brewer, Ron
Brewer, Ronnie
Brezec, Primoz
Brian, Frank
Brickowski, Frank
Bridgeman, Junior
Bridges, Bill
Brightman, Al
Brindley, Audley
Brisker, John
Bristow, Allan
Britt, Tyrone
Britt, Wayman
Brittain, Mike
Britton, David
Brockman, Jon
Brogan, Jim
Brokaw, Gary
Brookfield, Price
Brooks, Aaron [CHI]
Brooks, Kevin
Brooks, MarShon
Brooks, Michael
Brooks, Scott
Brown, Andre
Brown, Anthony [LAL]
Brown, Bob
Brown, Bobby
Brown, Chucky
Brown, Damone
Brown, Darrell
Brown, Dee
Brown, Dee
Brown, Derrick
Brown, Devin
Brown, Ernest
Brown, Fred
Brown, George
Brown, Gerald
Brown, Harold
Brown, Jabari
Brown, John
Brown, Kedrick
Brown, Kwame
Brown, Leon
Brown, Lewis
Brown, Lorenzo [PHX]
Brown, Marcus
Brown, Markel [BKN]
Brown, Mike
Brown, Myron
Brown, P.J.
Brown, Randy
Brown, Raymond
Brown, Rickey
Brown, Roger
Brown, Shannon
Brown, Stan
Brown, Tierre
Brown, Tony
Browne, Jim
Brundy, Stanley
Brunson, Rick
Bryant, Emmette
Bryant, Joe
Bryant, Kobe [LAL]
Bryant, Mark
Bryant, Wallace
Bryn, Torgeir
Buckhalter, Joe
Bucknall, Steve
Buckner, Cleveland
Buckner, Greg
Buckner, Quinn
Budd, Dave
Budinger, Chase [IND]
Budko, Walter
Buechler, Jud
Buford, Rodney
Bullard, Matt
Bullock, Reggie [DET]
Bunch, Greg
Bunt, Dick
Buntin, Bill
Burden, Luther
Burke, Pat
Burke, Trey [UTA]
Burkman, Roger
Burks, Alec [UTA]
Burks, Antonio
Burleson, Kevin
Burleson, Tom
Burmaster, Jack
Burns, David
Burns, Evers
Burns, Jim
Burrell, Scott
Burris, Art
Burrough, Junior
Burrow, Bob
Burton, Ed
Burton, Willie
Burtt, Steve
Buse, Don
Butch, Brian
Butcher, Donnie
Butler, Al
Butler, Caron [SAC]
Butler, Da'Sean
Butler, Greg
Butler, Jackie
Butler, Jimmy [CHI]
Butler, Mitchell
Butler, Rasual [SAS]
Buycks, Dwight
Byars, Derrick
Bynum, Andrew
Bynum, Will
Byrnes, Marty
Byrnes, Tommy
Bytzura, Mike
C
Cabarkapa, Zarko
Cable, Barney
Caboclo, Bruno [TOR]
Caffey, Jason
Cage, Michael
Calabrese, Gerry
Calathes, Nick
Calderon, Jose [NYK]
Caldwell, Adrian
Caldwell, Jim
Caldwell, Joe
Caldwell-Pope, Kentavious [DET]
Calhoun, Bill
Calhoun, Corky
Calip, Demetrius
Callahan, Tom
Calloway, Rick
Calverley, Ernie
Calvin, Mack
Cambridge, Dexter
Camby, Marcus
Campbell, Elden
Campbell, Tony
Canaan, Isaiah [PHI]
Cannon, Larry
Capela, Clint [HOU]
Caracter, Derrick
Cardinal, Brian
Carl, Howie
Carlisle, Chet
Carlisle, Geno
Carlisle, Rick
Carlson, Al
Carlson, Don
Carney, Bob
Carney, Rodney
Carpenter, Bob
Carr, Antoine
Carr, Austin
Carr, Chris
Carr, Cory
Carr, Kenny
Carr, M.L.
Carrington, Bob
Carroll, DeMarre [TOR]
Carroll, Joe Barry
Carroll, Matt
Carruth, Jimmy
Carter, Anthony
Carter, Butch
Carter, Fred
Carter, George
Carter, Howard
Carter, Jake
Carter, Maurice
Carter, Reggie
Carter, Ron
Carter, Vince [MEM]
Carter-Williams, Michael [MIL]
Cartwright, Bill
Carty, Jay
Cash, Cornelius
Cassell, Sam
Casspi, Omri [SAC]
Catchings, Harvey
Catledge, Terry
Catlett, Sid
Cato, Kelvin
Cattage, Bobby
Cauley-Stein, Willie [SAC]
Causwell, Duane
Cavenall, Ron
Ceballos, Cedric
Celestand, John
Cervi, Al
Chalmers, Lionel
Chalmers, Mario [MEM]
Chamberlain, Bill
Chamberlain, Wilt
Chambers, Jerry
Chambers, Tom
Champion, Mike
Chandler, Tyson [PHX]
Chandler, Wilson [DEN]
Chaney, Don
Chaney, John
Chapman, Rex
Chappell, Len
Charles, Ken
Charles, Lorenzo
Cheaney, Calbert
Cheeks, Maurice
Chenier, Phil
Cherry, Will
Chievous, Derrick
Chilcutt, Pete
Childress, Josh
Childress, Randolph
Childs, Chris
Chollet, Leroy
Chones, Jim
Christ, Fred
Christensen, Cal
Christian, Bob
Christie, Doug
Christmas, Dionte
Christmas, Rakeem [IND]
Christopher, Patrick
Churchwell, Robert
Clark, Archie
Clark, Carlos
Clark, Earl
Clark, Ian [GSW]
Clark, Keon
Clarkson, Jordan [LAL]
Claver, Victor
Claxton, Charles
Claxton, Speedy
Cleamons, Jim
Cleaves, Mateen
Clemens, John
Clifton, Nat
Closs, Bill
Closs, Keith
Cloyd, Paul
Cluggish, Marion
Clyde, Ben
Coffey, Richard
Cofield, Fred
Coker, John
Cole, Norris [NOP]
Coleman, Ben
Coleman, Derrick
Coleman, E.C.
Coleman, Jack
Coleman, Norris
Coles, Bimbo
Collier, Jason
Collins, Art
Collins, Don
Collins, Doug
Collins, James
Collins, Jarron
Collins, Jason
Collins, Jimmy
Collins, Mardy
Collins, Sherron
Collison, Darren [SAC]
Collison, Nick [OKC]
Colone, Joe
Colson, Sean
Colter, Steve
Combs, Leroy
Comegys, Dallas
Comley, Larry
Conley, Gene
Conley, Mike [MEM]
Conlin, Ed
Conlon, Marty
Connaughton, Pat [POR]
Conner, Lester
Connors, Chuck
Conroy, Will
Cook, Anthony
Cook, Bert
Cook, Bobby
Cook, Brian
Cook, Daequan
Cook, Darwin
Cook, Jeff
Cook, Norm
Cook, Omar
Cooke, David
Cooke, Joe
Cooley, Jack
Cooper, Chuck
Cooper, Duane
Cooper, Joe
Cooper, Michael
Cooper, Wayne
Copa, Tom
Copeland, Chris [MIL]
Copeland, Hollis
Copeland, Lanard
Corbin, Tyrone
Corchiani, Chris
Corley, Ken
Corley, Ray
Corzine, Dave
Costello, Larry
Cotton, Bryce
Cotton, Jack
Cotton, James
Coughran, John
Counts, Mel
Courtin, Steve
Courtney, Joe
Cousin, Marcus
Cousins, DeMarcus [SAC]
Cousy, Bob
Covington, Robert [PHI]
Cowens, Dave
Cox, John
Cox, Johnny
Cox, Wesley
Crabbe, Allen [POR]
Crawford, Chris
Crawford, Freddie
Crawford, Jamal [LAC]
Crawford, Joe
Crawford, Jordan
Creighton, Jim
Crevier, Ron
Crisler, Hal
Crispin, Joe
Criss, Charlie
Crite, Winston
Crittenton, Javaris
Crocker, Dillard
Crompton, Jeffrey
Crosby, Terry
Croshere, Austin
Cross, Jeff
Cross, Pete
Cross, Russell
Crossin, Francis
Crotty, John
Crow, Mark
Crowder, Corey
Crowder, Jae [BOS]
Cummings, Pat
Cummings, Terry
Cummings, Vonteego
Cunningham, Billy
Cunningham, Dante [NOP]
Cunningham, Dick
Cunningham, Jared [CLE]
Cunningham, William
Curcic, Radisav
Cure, Armand
Cureton, Earl
Curley, Bill
Curran, Fran
Curry, Dell
Curry, Eddy
Curry, JamesOn
Curry, Michael
Curry, Seth [SAC]
Curry, Stephen [GSW]
Cvetkovic, Rastko
D
D'Antoni, Mike
Dahler, Ed
Dailey, Quintin
Dalembert, Samuel
Dallmar, Howie
Dampier, Erick
Dampier, Lou
Dandridge, Bob
Daniels, Antonio
Daniels, Erik
Daniels, Lloyd
Daniels, Marquis
Daniels, Mel
Daniels, Troy [CHA]
Danilovic, Sasha
Dantley, Adrian
Darcey, Henry
Darden, Jimmy
